Date,Fremont Bridge East Sidewalk,Fremont Bridge West Sidewalk
01/01/2019 12:00:00 AM,9,0
01/01/2019 01:00:00 AM,22,2
01/01/2019 02:00:00 AM,11,1
01/01/2019 03:00:00 AM,2,1
01/01/2019 04:00:00 AM,1,2
01/01/2019 05:00:00 AM,1,3
01/01/2019 06:00:00 AM,7,4
01/01/2019 07:00:00 AM,2,1
01/01/2019 08:00:00 AM,9,8
01/01/2019 09:00:00 AM,14,5
01/01/2019 10:00:00 AM,24,37
01/01/2019 11:00:00 AM,11,31
01/01/2019 12:00:00 PM,29,31
01/01/2019 01:00:00 PM,48,55
01/01/2019 02:00:00 PM,52,61
01/01/2019 03:00:00 PM,37,31
01/01/2019 04:00:00 PM,28,30
01/01/2019 05:00:00 PM,17,9
01/01/2019 06:00:00 PM,11,9
01/01/2019 07:00:00 PM,7,8
01/01/2019 08:00:00 PM,3,4
01/01/2019 09:00:00 PM,3,1
01/01/2019 10:00:00 PM,2,1
01/01/2019 11:00:00 PM,2,0
01/02/2019 12:00:00 AM,0,1
01/02/2019 01:00:00 AM,0,0
01/02/2019 02:00:00 AM,1,0
01/02/2019 03:00:00 AM,2,2
01/02/2019 04:00:00 AM,2,5
01/02/2019 05:00:00 AM,14,14
01/02/2019 06:00:00 AM,42,52
01/02/2019 07:00:00 AM,110,140
01/02/2019 08:00:00 AM,200,168
01/02/2019 09:00:00 AM,102,72
01/02/2019 10:00:00 AM,34,43
01/02/2019 11:00:00 AM,29,22
01/02/2019 12:00:00 PM,28,24
01/02/2019 01:00:00 PM,23,22
01/02/2019 02:00:00 PM,43,20
01/02/2019 03:00:00 PM,61,42
01/02/2019 04:00:00 PM,172,60
01/02/2019 05:00:00 PM,346,97
01/02/2019 06:00:00 PM,187,54
01/02/2019 07:00:00 PM,53,32
01/02/2019 08:00:00 PM,20,11
01/02/2019 09:00:00 PM,18,5
01/02/2019 10:00:00 PM,9,5
01/02/2019 11:00:00 PM,2,4
01/03/2019 12:00:00 AM,0,1
01/03/2019 01:00:00 AM,0,0
01/03/2019 02:00:00 AM,1,0
01/03/2019 03:00:00 AM,1,2
01/03/2019 04:00:00 AM,1,5
01/03/2019 05:00:00 AM,19,13
01/03/2019 06:00:00 AM,25,40
01/03/2019 07:00:00 AM,82,70
01/03/2019 08:00:00 AM,159,138
01/03/2019 09:00:00 AM,85,63
01/03/2019 10:00:00 AM,39,29
01/03/2019 11:00:00 AM,16,17
01/03/2019 12:00:00 PM,27,19
01/03/2019 01:00:00 PM,18,15
01/03/2019 02:00:00 PM,21,19
01/03/2019 03:00:00 PM,43,20
01/03/2019 04:00:00 PM,100,32
01/03/2019 05:00:00 PM,249,75
01/03/2019 06:00:00 PM,119,40
01/03/2019 07:00:00 PM,51,21
01/03/2019 08:00:00 PM,27,14
01/03/2019 09:00:00 PM,8,5
01/03/2019 10:00:00 PM,1,6
01/03/2019 11:00:00 PM,2,5
01/04/2019 12:00:00 AM,2,1
01/04/2019 01:00:00 AM,1,2
01/04/2019 02:00:00 AM,1,0
01/04/2019 03:00:00 AM,2,2
01/04/2019 04:00:00 AM,1,1
01/04/2019 05:00:00 AM,13,10
01/04/2019 06:00:00 AM,36,31
01/04/2019 07:00:00 AM,95,88
01/04/2019 08:00:00 AM,182,140
01/04/2019 09:00:00 AM,112,84
01/04/2019 10:00:00 AM,44,42
01/04/2019 11:00:00 AM,36,33
01/04/2019 12:00:00 PM,28,23
01/04/2019 01:00:00 PM,30,28
01/04/2019 02:00:00 PM,47,20
01/04/2019 03:00:00 PM,66,52
01/04/2019 04:00:00 PM,158,63
01/04/2019 05:00:00 PM,273,86
01/04/2019 06:00:00 PM,142,50
01/04/2019 07:00:00 PM,43,26
01/04/2019 08:00:00 PM,20,11
01/04/2019 09:00:00 PM,19,5
01/04/2019 10:00:00 PM,4,7
01/04/2019 11:00:00 PM,15,4
01/05/2019 12:00:00 AM,7,8
01/05/2019 01:00:00 AM,2,1
01/05/2019 02:00:00 AM,3,0
01/05/2019 03:00:00 AM,2,0
01/05/2019 04:00:00 AM,3,3
01/05/2019 05:00:00 AM,8,3
01/05/2019 06:00:00 AM,8,3
01/05/2019 07:00:00 AM,14,8
01/05/2019 08:00:00 AM,37,18
01/05/2019 09:00:00 AM,17,21
01/05/2019 10:00:00 AM,41,50
01/05/2019 11:00:00 AM,42,62
01/05/2019 12:00:00 PM,46,64
01/05/2019 01:00:00 PM,50,70
01/05/2019 02:00:00 PM,56,39
01/05/2019 03:00:00 PM,49,50
01/05/2019 04:00:00 PM,37,25
01/05/2019 05:00:00 PM,16,16
01/05/2019 06:00:00 PM,18,12
01/05/2019 07:00:00 PM,7,5
01/05/2019 08:00:00 PM,9,9
01/05/2019 09:00:00 PM,9,6
01/05/2019 10:00:00 PM,5,6
01/05/2019 11:00:00 PM,7,3
01/06/2019 12:00:00 AM,8,2
01/06/2019 01:00:00 AM,1,1
01/06/2019 02:00:00 AM,0,0
01/06/2019 03:00:00 AM,0,0
01/06/2019 04:00:00 AM,1,0
01/06/2019 05:00:00 AM,2,2
01/06/2019 06:00:00 AM,3,2
01/06/2019 07:00:00 AM,2,4
01/06/2019 08:00:00 AM,9,11
01/06/2019 09:00:00 AM,17,19
01/06/2019 10:00:00 AM,26,34
01/06/2019 11:00:00 AM,25,48
01/06/2019 12:00:00 PM,40,42
01/06/2019 01:00:00 PM,35,38
01/06/2019 02:00:00 PM,32,28
01/06/2019 03:00:00 PM,32,27
01/06/2019 04:00:00 PM,18,15
01/06/2019 05:00:00 PM,21,19
01/06/2019 06:00:00 PM,16,5
01/06/2019 07:00:00 PM,5,2
01/06/2019 08:00:00 PM,5,2
01/06/2019 09:00:00 PM,3,5
01/06/2019 10:00:00 PM,3,1
01/06/2019 11:00:00 PM,1,1
01/07/2019 12:00:00 AM,0,0
01/07/2019 01:00:00 AM,0,1
01/07/2019 02:00:00 AM,0,1
01/07/2019 03:00:00 AM,1,2
01/07/2019 04:00:00 AM,2,4
01/07/2019 05:00:00 AM,15,19
01/07/2019 06:00:00 AM,53,69
01/07/2019 07:00:00 AM,165,178
01/07/2019 08:00:00 AM,241,235
01/07/2019 09:00:00 AM,133,91
01/07/2019 10:00:00 AM,47,45
01/07/2019 11:00:00 AM,25,31
01/07/2019 12:00:00 PM,26,34
01/07/2019 01:00:00 PM,21,35
01/07/2019 02:00:00 PM,38,28
01/07/2019 03:00:00 PM,86,49
01/07/2019 04:00:00 PM,223,70
01/07/2019 05:00:00 PM,414,128
01/07/2019 06:00:00 PM,234,89
01/07/2019 07:00:00 PM,89,33
01/07/2019 08:00:00 PM,32,9
01/07/2019 09:00:00 PM,24,16
01/07/2019 10:00:00 PM,10,6
01/07/2019 11:00:00 PM,5,4
01/08/2019 12:00:00 AM,0,1
01/08/2019 01:00:00 AM,0,0
01/08/2019 02:00:00 AM,0,0
01/08/2019 03:00:00 AM,0,2
01/08/2019 04:00:00 AM,5,3
01/08/2019 05:00:00 AM,13,18
01/08/2019 06:00:00 AM,45,71
01/08/2019 07:00:00 AM,134,152
01/08/2019 08:00:00 AM,207,214
01/08/2019 09:00:00 AM,96,76
01/08/2019 10:00:00 AM,38,28
01/08/2019 11:00:00 AM,21,18
01/08/2019 12:00:00 PM,23,16
01/08/2019 01:00:00 PM,12,12
01/08/2019 02:00:00 PM,26,14
01/08/2019 03:00:00 PM,46,30
01/08/2019 04:00:00 PM,150,55
01/08/2019 05:00:00 PM,358,90
01/08/2019 06:00:00 PM,193,62
01/08/2019 07:00:00 PM,69,21
01/08/2019 08:00:00 PM,23,11
01/08/2019 09:00:00 PM,19,12
01/08/2019 10:00:00 PM,7,6
01/08/2019 11:00:00 PM,4,3
01/09/2019 12:00:00 AM,2,2
01/09/2019 01:00:00 AM,1,0
01/09/2019 02:00:00 AM,0,1
01/09/2019 03:00:00 AM,1,1
01/09/2019 04:00:00 AM,2,8
01/09/2019 05:00:00 AM,14,14
01/09/2019 06:00:00 AM,41,50
01/09/2019 07:00:00 AM,119,136
01/09/2019 08:00:00 AM,192,180
01/09/2019 09:00:00 AM,112,100
01/09/2019 10:00:00 AM,47,36
01/09/2019 11:00:00 AM,29,17
01/09/2019 12:00:00 PM,23,18
01/09/2019 01:00:00 PM,18,17
01/09/2019 02:00:00 PM,24,17
01/09/2019 03:00:00 PM,60,37
01/09/2019 04:00:00 PM,147,48
01/09/2019 05:00:00 PM,290,106
01/09/2019 06:00:00 PM,210,65
01/09/2019 07:00:00 PM,61,32
01/09/2019 08:00:00 PM,36,18
01/09/2019 09:00:00 PM,17,8
01/09/2019 10:00:00 PM,11,1
01/09/2019 11:00:00 PM,3,3
01/10/2019 12:00:00 AM,2,1
01/10/2019 01:00:00 AM,0,0
01/10/2019 02:00:00 AM,3,2
01/10/2019 03:00:00 AM,1,0
01/10/2019 04:00:00 AM,6,6
01/10/2019 05:00:00 AM,17,16
01/10/2019 06:00:00 AM,42,61
01/10/2019 07:00:00 AM,131,139
01/10/2019 08:00:00 AM,248,210
01/10/2019 09:00:00 AM,112,112
01/10/2019 10:00:00 AM,50,39
01/10/2019 11:00:00 AM,38,25
01/10/2019 12:00:00 PM,18,29
01/10/2019 01:00:00 PM,24,33
01/10/2019 02:00:00 PM,32,31
01/10/2019 03:00:00 PM,68,46
01/10/2019 04:00:00 PM,172,71
01/10/2019 05:00:00 PM,371,118
01/10/2019 06:00:00 PM,232,78
01/10/2019 07:00:00 PM,102,42
01/10/2019 08:00:00 PM,51,19
01/10/2019 09:00:00 PM,32,15
01/10/2019 10:00:00 PM,18,12
01/10/2019 11:00:00 PM,11,12
01/11/2019 12:00:00 AM,4,15
01/11/2019 01:00:00 AM,1,4
01/11/2019 02:00:00 AM,2,0
01/11/2019 03:00:00 AM,1,1
01/11/2019 04:00:00 AM,5,5
01/11/2019 05:00:00 AM,12,9
01/11/2019 06:00:00 AM,44,62
01/11/2019 07:00:00 AM,132,123
01/11/2019 08:00:00 AM,259,213
01/11/2019 09:00:00 AM,136,111
01/11/2019 10:00:00 AM,45,56
01/11/2019 11:00:00 AM,35,31
01/11/2019 12:00:00 PM,44,36
01/11/2019 01:00:00 PM,41,48
01/11/2019 02:00:00 PM,57,36
01/11/2019 03:00:00 PM,102,55
01/11/2019 04:00:00 PM,241,83
01/11/2019 05:00:00 PM,378,90
01/11/2019 06:00:00 PM,178,69
01/11/2019 07:00:00 PM,74,26
01/11/2019 08:00:00 PM,48,23
01/11/2019 09:00:00 PM,27,14
01/11/2019 10:00:00 PM,16,13
01/11/2019 11:00:00 PM,7,6
01/12/2019 12:00:00 AM,7,5
01/12/2019 01:00:00 AM,9,2
01/12/2019 02:00:00 AM,5,2
01/12/2019 03:00:00 AM,3,0
01/12/2019 04:00:00 AM,3,1
01/12/2019 05:00:00 AM,4,1
01/12/2019 06:00:00 AM,10,7
01/12/2019 07:00:00 AM,17,12
01/12/2019 08:00:00 AM,39,31
01/12/2019 09:00:00 AM,41,52
01/12/2019 10:00:00 AM,47,56
01/12/2019 11:00:00 AM,66,50
01/12/2019 12:00:00 PM,107,90
01/12/2019 01:00:00 PM,78,98
01/12/2019 02:00:00 PM,103,122
01/12/2019 03:00:00 PM,103,101
01/12/2019 04:00:00 PM,77,80
01/12/2019 05:00:00 PM,48,48
01/12/2019 06:00:00 PM,30,15
01/12/2019 07:00:00 PM,14,14
01/12/2019 08:00:00 PM,3,11
01/12/2019 09:00:00 PM,14,7
01/12/2019 10:00:00 PM,9,8
01/12/2019 11:00:00 PM,6,15
01/13/2019 12:00:00 AM,2,8
01/13/2019 01:00:00 AM,3,1
01/13/2019 02:00:00 AM,3,1
01/13/2019 03:00:00 AM,1,0
01/13/2019 04:00:00 AM,2,0
01/13/2019 05:00:00 AM,2,3
01/13/2019 06:00:00 AM,7,1
